Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,Partial Correlation Coefficient,Anderson-Darling Test,Shapiro-Wilk Test of Normality,Kolmogorov-Smirnov Test for Normality,Lilliefors Test,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test for Uniform distribution,Kolmogorov-Smirnov Test for Gamma distribution,Kolmogorov-Smirnov Test for Exponential distribution,Chi-square Independence Test,Fisher Exact Test,Mantel-Haenszel Test,Mean,Median,Mode,Range,Quartile,Standard Deviation,Skewness,Kurtosis,Mood Variance Test,Levene Test,Bartlett Test,F-Test for Variance
-4.87022305,-4.2980566,-5.38430929,8.96050644,-13.6098642,-20.1344738,-13.3388605,-8.46001434,-10.1887608,-18.7948475,-9.15018654,-9.74713993,-15.3930149,-11.608285,-6.60561895,-11.3811102,-11.7594061,-13.6417522,-14.793498,-16.0421925,-14.7459879,-11.1193419,-12.0858021,-8.82747269,-8.77497673,-11.8894291,-11.5824366
-10.4599056,-9.96052837,-11.2342205,-15.7203255,-9.45552921,-12.2847586,-8.90346336,-6.50675058,-2.58456945,9.30521107,-6.12863636,-3.042099,-6.62999249,-4.63897085,-19.2124844,-14.6180182,-12.3652124,-8.81814098,-11.8971958,-10.7175207,-15.3820171,-12.5790691,-7.07778835,-16.3055191,-16.025074,-13.2864361,-12.7302036
1.7759726,1.7861408,2.13901186,-7.72152996,-10.4412689,-14.3006229,-10.4067621,-9.26086426,-1.92697191,-14.6957378,-11.9113026,-11.376194,-6.96909857,-7.03905773,-9.38558769,-11.0301895,-11.8080368,-12.7018394,-7.67950392,-12.1282959,-16.0549679,-9.06383896,-7.97703743,2.93680191,2.82115316,-6.33635664,-5.87633896
-11.0026779,-10.3967762,-12.2811804,-14.2534466,-9.66806889,-16.6522293,-9.45007038,-8.51452065,-14.7962894,-14.3017282,-12.1650038,-10.1572008,-14.5590925,-12.1126146,-8.61296272,-12.1076155,-16.3284321,-13.9831572,-14.3750486,-11.9369879,-5.39451647,-15.4053307,-11.7882347,10.7319498,10.0877762,-5.46725321,-5.22747135
-4.7123003,-4.14473295,-4.80910873,-4.9317894,-13.3031073,-16.4070835,-13.0789547,-11.2357121,-8.85523033,-15.3260164,-11.5083408,-11.5831318,-4.31734085,-3.89976406,4.177279,-12.1339092,-13.0059023,-12.576149,-13.4254131,-15.1734018,-17.9017105,-10.029768,-14.7440033,-6.13269806,-6.12228107,-7.24473953,-6.77219868
-5.11807632,-4.52603912,-5.49839878,-10.3810911,-8.38929558,-14.297307,-8.62326241,-6.70269871,7.08100224,-9.98288441,-9.89740562,-9.5090723,-8.79720116,-7.52607918,-14.8422337,-11.3904629,-11.4301071,-11.7489758,-13.5567083,-10.9689646,-18.733448,-9.31548214,-10.1572466,-2.85169005,-2.6362505,-9.61569023,-9.37722969
-0.381882995,-0.293402791,-0.926391304,7.84400415,-14.8191538,-17.6616974,-14.3953447,-9.26228333,-6.32186413,-15.6331015,-10.7023458,-9.14364719,-12.0458136,-9.33225536,-2.24764991,-10.9465485,-11.8286562,-12.3302088,-10.4227142,-13.6994143,-17.3149853,-9.43449116,-11.4388294,-7.23977089,-7.0445447,-10.5156069,-10.2969303
-12.2249317,-11.065279,-10.7221689,-18.1133499,-12.8482141,-20.4917831,-12.6347113,-9.22171783,-14.9378405,-17.1113663,-13.6923323,-13.9958658,-18.7017078,-13.9781923,-17.5087013,-14.8119555,-12.7834492,-16.0015221,-4.33175516,-10.449213,-5.91520929,-9.58257771,-6.4929266,8.17922783,7.86002159,-5.34067488,-5.21252584
-5.43391562,-4.93022585,-6.31072712,-10.1904478,-5.28327942,-6.40120411,-5.3624444,-5.27129841,5.3395462,-8.1490984,-8.86678696,-7.87107515,-9.0068531,-7.26194239,-14.0042458,-12.4059334,-10.2601347,-11.7118883,-12.638299,-10.3587179,-18.1695004,-8.5097723,-8.78477859,-2.93937731,-2.9904089,-1.25165474,-1.1310879
-4.17276001,-4.06849051,-6.23851252,14.0082827,-13.7371464,-19.890379,-13.9158268,-7.32921553,-11.7661428,-17.9732533,-8.78379631,-9.68496513,-17.7298412,-17.0597515,-7.94400311,-9.7746954,-11.495204,-13.6366138,-14.1150761,-13.2365265,-15.791934,-11.3230686,-13.5306215,-10.679965,-10.0597143,-17.6602306,-17.2946415
-9.41310024,-8.61117172,-9.37444496,-3.69880891,-17.9390907,-17.1361599,-17.2352142,-13.5956593,-3.29749656,-11.8808031,-10.0353947,-10.4134083,-2.83927894,-2.82678461,4.20832205,-9.37426949,-14.2326212,-8.91884899,-11.7898731,-10.215126,-19.0026894,-12.4091711,-10.4922514,-9.52517033,-9.06774426,-11.4779158,-11.1575966
-7.40517998,-6.75961399,-7.80475235,13.6681423,-11.0046387,-16.6274948,-11.0808773,-6.56438684,-14.8647003,-18.2335835,-10.58181,-9.2845192,-22.1189175,-17.9159012,-6.84999752,-12.5015316,-8.84249401,-13.0528555,-11.7993622,-14.4382792,-15.1940422,-8.06978035,-13.0721407,-10.968936,-10.6719704,-16.3304977,-15.9870167
-21.6080093,-19.9330387,-18.4080563,-23.1461983,-12.9970894,-14.7743826,-13.1037254,-13.948595,-19.1302662,-10.0506773,-10.9884539,-12.1682968,-18.4696102,-10.0833349,-28.2708492,-12.5142021,-8.84509277,-7.74472427,16.9192829,-6.90561533,-15.0682716,-12.1569099,-6.85166264,-14.7708969,-14.6973095,-14.9794264,-14.2990541
-13.3482485,-12.4283733,-12.5386639,-18.0331764,-10.8330002,-10.8060713,-10.9889679,-14.4890261,-13.3279028,-15.5740414,-13.0444708,-12.7205286,-17.8534126,-12.6350136,-16.6255951,-12.504158,-12.9696999,-15.0363541,-7.6183877,-9.69833374,-6.44004345,-10.6510105,-8.13640118,9.86163521,9.29375458,4.87500668,5.09563208
-8.30889225,-8.0116415,-9.73510647,-17.1332207,-13.394331,-20.8246708,-13.2308989,-9.80391502,-14.9357872,-19.8439884,-9.49673176,-9.61694622,-21.9064045,-14.7723866,-23.0210934,-13.2458324,-7.16113091,-10.5368681,-12.7609606,-10.3457651,-11.7976284,2.51248789,4.38961411,-17.6007538,-17.062397,-17.9421806,-17.6838207
-0.158526435,0.0306746699,11.1152811,-6.22883415,-12.949152,-12.5676899,-12.7456875,-14.1529818,-10.1524649,-17.5015182,-10.912343,-10.6921997,-6.93216181,-5.99962616,-15.079195,-9.94510078,-12.3135395,-11.900898,-7.44996929,-14.8244028,-17.1811123,-9.43579197,-7.10200882,-8.45020008,-8.07973671,-7.25982475,-6.85507059
-8.94333744,-8.2280302,-8.48065376,-16.2515812,8.16991901,-5.89153814,8.21165943,8.17731667,-5.98384857,-6.84932518,-9.52888966,-6.86381817,-5.83947134,-7.40835953,-22.4894524,-11.8474922,-11.1622305,-10.0462141,-11.3861771,-9.69968796,-14.330122,-7.58181763,-4.24136925,-14.1039066,-13.5337095,-13.157649,-12.8968649
-25.2663555,-24.5867996,-22.7596436,-16.2156258,-13.1287794,-16.3705959,-13.1627598,-12.6736994,-17.8044453,-14.6318817,-13.6851807,-16.6950703,-23.7141399,-19.8097973,-20.0566406,-15.1715679,-4.85091352,-7.66451883,-8.72750187,11.4051065,-16.5756836,-12.4009171,-13.130908,-24.9493484,-24.4047337,-27.4856339,-26.4915237
-4.86830902,-4.44210434,-3.53095794,-6.61380529,-12.4850435,-12.522788,-12.4707508,-12.6138659,-4.57695436,-9.57416248,-10.5031385,-9.28894138,8.10725307,-1.82378507,-10.5300226,-12.0107899,-14.1601801,-6.75666094,-10.1124554,-11.3765841,-19.1063824,-10.3089609,-9.4714489,-12.1802092,-11.5704222,-10.4195671,-10.1060553
-8.60753727,-8.15706253,-9.19420338,-13.4209766,-8.79862881,-8.53388596,-8.81238937,-10.0107985,-11.8612623,-13.9133348,-11.7111273,-11.0573006,-16.2574177,-12.5272112,-10.3061752,-12.9936476,-14.3195648,-13.7340031,-10.6783047,-10.7797947,-6.82547474,-12.414155,-9.85963154,10.4292278,9.84724426,1.22724092,1.32497156
-7.24847651,-6.59394789,-8.15358257,-11.3259201,-12.1680336,-18.8717346,-12.1287413,-8.11650753,6.11285925,-5.15041828,-5.78718424,-2.7983551,-5.55949116,-7.77398682,-12.049365,-12.8566771,-12.99617,-8.75263882,-14.18046,-14.277668,-15.639411,-13.2833481,-6.54124212,-11.0409765,-11.1888657,-15.9185638,-15.1049461
-4.16839218,-3.9537034,-4.08975697,-9.31032848,-12.1577368,-15.7664661,-12.0177469,-10.4586363,-6.2286253,-11.8785667,-11.3888655,-12.3472872,7.84864235,0.278868437,-6.2312274,-12.9099874,-14.4757738,-9.6398201,-12.3298664,-12.4279032,-20.5161934,-10.216032,-11.3346796,-9.86296177,-9.55643272,-11.4620457,-11.0677357
-2.20314813,-1.88563204,10.5515499,-6.70837498,-11.3473339,-11.9073992,-11.0980673,-13.5714331,-9.91375351,-17.7480869,-9.71426868,-9.12857533,-4.67702913,-4.00463343,-14.3321676,-10.0210323,-12.1613493,-12.1417799,-9.27832413,-15.4492083,-15.3525362,-8.45660114,-9.04059792,-8.24976444,-8.24809742,-6.09704018,-5.70582867
-10.1949291,-9.52644157,-11.3543129,-7.45624018,-15.7792072,-16.2748985,-15.6495466,-12.8750715,-3.95038939,-11.7517166,-11.0450268,-11.4803371,-4.83770037,-2.37258101,6.45355749,-10.8372669,-15.2636528,-10.0978937,-15.5889702,-10.1916256,-19.3163872,-14.8450823,-10.9130011,-5.73302937,-5.54375315,-7.48278713,-7.21461344
-5.80129194,-5.29419518,-4.51099253,-11.7490244,5.4374423,-5.89288282,5.36800528,5.34205246,-12.6746178,-9.99322701,-10.4513998,-9.2393713,-8.44896698,-9.15288639,-17.4276447,-6.60573483,-6.72309446,-9.38565636,-3.98856759,-8.78248024,-9.71550179,-6.74663925,-3.04474068,-8.00221539,-7.72893381,-11.408597,-11.0130386
-17.0547295,-15.7691298,-15.6702442,-15.6853294,-9.72455597,-10.273077,-9.58773232,-14.4001389,-17.2861652,-14.8722382,-14.7402706,-13.3436995,-18.9294643,-12.07127,-8.13427544,-11.2954235,-17.8803234,-14.270793,-17.8111553,-10.9845266,-8.97126102,-17.2426033,-15.3701344,17.1038055,16.3245125,4.73943043,4.80663395
-7.78077459,-7.2241621,-8.13262177,-8.62442303,-14.7261572,-16.1842461,-14.830555,-13.0427418,-2.90071678,-9.53248119,-9.38970089,-13.4849434,8.56733227,-1.34235656,-5.25895119,-13.6881542,-16.9157009,-7.18889093,-14.234745,-10.6027145,-20.8868809,-14.5612679,-9.64082623,-15.6737089,-14.9688749,-11.9825392,-11.5937929
-1.63823533,-1.37514091,8.47131062,-7.24823618,-11.4590816,-13.6513081,-11.3341923,-12.7925148,-10.44981,-17.3611526,-11.0225668,-10.2298794,-6.53853798,-4.78616858,-13.5405655,-10.4896317,-12.7550316,-13.1508455,-11.6164904,-15.9044876,-16.6719761,-9.49040508,-10.9429836,-6.14120531,-6.16664696,-4.37879896,-4.08415699
-11.0082531,-10.6540327,-8.05882359,-17.1194782,9.71745872,6.43186855,9.61989784,-2.55460572,-13.449543,-5.63882923,-7.92989302,-7.14070606,-8.75148678,-6.33381987,-25.6060619,-8.42302704,-10.4211082,-8.71548462,-11.0047951,-9.93743896,-11.5180845,-9.9217968,-10.9520187,-13.5080242,-13.0320997,-5.89100933,-5.50375223
-11.4588747,-10.7671986,-12.550458,-16.3117237,-7.83890772,-13.711175,-7.59930372,-3.73105931,-2.75912333,9.97020054,-2.73150349,-4.77345943,-6.23080063,-6.98106098,-20.7751617,-14.3154316,-12.5995178,-7.85512161,-13.2613192,-10.0526323,-16.2910461,-12.6259336,-7.48248482,-16.4320145,-15.9216652,-16.4368858,-16.1371479
-7.48857021,-7.41281128,-6.97919321,-15.380724,-10.7426548,-16.3099499,-10.465498,-8.82946873,-6.81254196,-11.8015461,-11.3600025,-13.0167208,7.38753223,6.12050152,-4.0301671,-12.9918518,-15.4501514,-7.63327932,-11.6447897,-11.6399765,-19.3308926,-11.5448847,-10.1596823,-11.3364487,-10.7503471,-14.6847124,-14.1849594
-2.50279999,-2.06954861,-3.17939949,-7.16896582,-7.6095438,-13.6186829,-7.60983419,-5.11768818,5.86667109,-8.38510513,-8.72293758,-7.93871737,-8.02371883,-9.87395573,-14.7389946,-10.1935425,-10.8062105,-11.3151302,-11.6249304,-11.105588,-17.8706894,-8.44627953,-7.85016489,-5.20499945,-4.97821522,-12.2038069,-11.9072266
-9.86471176,-9.29351711,-9.41335678,-13.3416996,-8.82251358,-17.3750458,-8.74166107,-5.69423103,-7.86332703,-14.2702084,-11.0033007,-13.6406727,-15.1080036,-11.9478264,-8.11613274,-11.608551,-16.8489685,-13.8967228,-15.4524632,-10.6934624,-11.103404,-15.1741047,-13.3186684,12.22089,11.6852694,-4.26057005,-4.06585741
-9.71541214,-9.00118637,-9.80675316,-15.6232615,-10.5677214,-17.1815166,-10.5526285,-8.77062798,-11.8691187,-17.2276955,-13.7328196,-12.2132492,-19.3643627,-12.2173328,-11.3155174,-12.9423437,-13.1107121,-16.7626286,-7.93709946,-10.6758175,-9.18998241,-11.114995,-9.78335381,13.3959045,12.8729858,-5.8825326,-5.61502886
-17.5126476,-16.4712543,-11.8178473,-16.0689964,-11.0063858,-9.75496387,-11.3655453,-15.200079,-24.7483444,-13.7560043,-12.1070461,-10.1401215,-20.0590134,-10.4968328,-22.2548714,-3.08294415,-7.2627635,-8.83492565,7.00488806,-11.3839436,-8.52049541,-7.79613495,-12.4485865,-17.4849167,-16.9008179,-10.4099331,-9.69098473
-1.12121832,-0.911905706,9.41944218,-5.13732862,-13.0534868,-11.8499479,-12.9610052,-14.5284004,-8.29947662,-16.1975613,-11.1080904,-10.7347441,-5.94793749,-6.10458755,-14.2774124,-10.3752747,-12.5747604,-11.4605141,-7.94927883,-13.6845226,-17.6064377,-9.56275082,-6.63522196,-7.87229252,-7.45060253,-6.85589838,-6.48472834
-3.37351966,-3.2876184,-3.89092875,-6.90295649,-8.4971056,-11.1326256,-8.09097672,-7.1941824,7.65068436,-7.73795652,-9.94642162,-8.88863468,-6.20429993,-6.44101191,-8.9900465,-11.1583099,-11.9523973,-10.2956476,-10.8106155,-8.40219212,-17.1775894,-10.481329,-8.10846424,-6.18062878,-6.04182053,-6.89864016,-6.54688454
-10.7813129,-10.2679424,-9.45659924,-11.1707134,-16.1101227,-17.2277203,-16.2556934,-15.4944592,-6.65120649,-9.93538857,-12.5312424,-11.4038458,7.6899209,-0.893645823,-9.95100594,-16.9670925,-17.4188862,-9.00970364,-14.8770037,-13.0954113,-22.3931293,-13.2988424,-13.6296759,-17.7757301,-16.591198,-13.7009897,-13.2879133
-4.78541088,-4.2326045,9.68671703,-7.01566315,-10.9471149,-11.9048662,-10.7001905,-13.4664822,-9.50698948,-16.8878784,-10.4647923,-9.71990776,-4.97621202,-3.23546171,-12.9189138,-11.0005941,-12.3177938,-12.7498703,-10.2809353,-15.378231,-16.7370548,-8.9316864,-10.5482864,-7.95744228,-7.88285542,-5.20394993,-4.90470362
-9.18641472,-8.39801598,-7.93010759,-9.01109314,-13.7225056,-17.742342,-13.7056475,-10.4434891,-10.6147823,-11.7605686,-11.4231033,-9.88244438,-0.831033111,0.488592774,3.67227554,-13.7115564,-14.0942192,-9.52920532,-11.8756132,-14.0153522,-21.0535984,-11.5588408,-13.0192852,-13.2500429,-12.7167835,-15.3521767,-15.424427
3.97892332,3.72930241,5.4207201,-6.12521601,-12.2075939,-14.3594208,-11.8872433,-11.4218216,-4.66382408,-13.3606577,-12.4201937,-11.3377523,-3.33973694,-3.9660728,-9.87649727,-12.6225786,-14.2747383,-11.3567047,-10.1133919,-12.4413033,-18.1481266,-10.3629408,-9.81623459,-3.68450665,-3.65780759,-3.16137743,-2.61703062
0.153696045,0.0526319221,0.277408838,-9.88752556,-6.89220476,-14.1374855,-7.0063386,-6.1629014,-8.00546265,-13.6254721,-11.6920204,-11.7728119,-11.554636,-12.4620399,-14.9424782,-10.0697451,-12.5495472,-12.7526226,-5.14734983,-10.0630884,-9.60607815,-7.8377347,-5.87909794,7.66024685,7.26957417,-3.70739222,-3.35672975
-19.6274796,-18.6052532,-18.4614716,-10.7962933,-9.93666935,-14.9293079,-9.87670803,-8.37683392,-14.3203211,-15.0073614,-13.0439777,-12.0198755,-24.0282917,-15.8972206,-18.9445305,-7.91494322,7.36497688,-5.93633604,-8.39043713,-4.84165192,-15.6008883,-6.57612038,-8.52274036,-20.8676777,-20.5027122,-20.0407562,-19.5356731
-1.48111975,-0.954493046,-1.61072195,6.67267656,-12.7458582,-17.5270233,-12.6300278,-8.37322617,-4.00976658,-13.290287,-10.275506,-9.28587723,-7.57667017,-10.6278982,-7.69177628,-10.2552681,-12.1519623,-11.5850811,-10.3909502,-12.7076855,-16.9144325,-10.2901859,-7.69035864,-11.0753164,-10.6661234,-12.7270088,-12.7524147
-18.2863674,-17.0089779,-14.8370056,-20.5186558,-13.1683798,-17.7349777,-12.7650576,-11.1531963,-18.9422779,-11.8775177,-10.3531284,-10.4626837,-18.7216721,-9.59550858,-26.8605824,-7.01136684,-6.01501608,-8.40961933,11.7952042,-8.25209713,-14.9757032,-8.89477634,-12.377265,-15.2194405,-15.4169388,-16.9371033,-16.4574833
2.10469341,2.37572598,1.74128842,4.21189213,-11.093935,-17.3058529,-11.0999889,-7.53590536,-7.0871644,-14.0208511,-10.8785286,-9.48168278,-10.0901928,-11.3530436,-10.9174004,-10.446311,-11.1634502,-12.9833803,-10.2968922,-15.3468418,-15.764082,-8.6938448,-8.40905952,-8.75825977,-8.66340446,-9.59128284,-9.37429047
-0.980986536,-1.20758832,-2.08996725,-8.22703266,-12.3892479,-13.0032434,-12.5798988,-12.9977932,-3.71021843,-10.5862589,-10.9350777,-8.17897129,8.04326916,1.00954282,-7.84275866,-11.7916956,-13.8847551,-7.28776646,-10.9255276,-12.3378468,-18.4993095,-10.2909698,-8.15639305,-10.2565098,-10.0539169,-7.89101124,-7.62755775
-6.47475529,-6.26069927,-6.25387764,-17.5440102,-9.09279633,-12.2159786,-8.88818359,-10.0890303,-11.8019724,-16.5464516,-9.90728855,-5.94137526,-15.5533047,-2.53306985,-20.3153934,-12.2388439,-7.48341274,-11.097106,-9.12427902,-9.50178337,-15.094429,6.19533157,-2.61820126,-10.086853,-9.7064743,-7.23495007,-6.97918558
-8.96436405,-8.46787643,-8.63259602,-15.7445202,-9.95703506,-8.18956184,-9.85515594,-15.3517857,-9.56718159,-14.0821829,-12.704196,-11.6164989,-15.5615644,-11.0975122,-12.1822195,-11.0277767,-12.8425779,-13.4803495,-9.33102703,-10.6194763,-10.8766613,-10.9759159,-11.1296873,11.3108587,10.6667557,5.80507946,5.88070011
-4.08063984,-3.62117624,10.3461781,-7.51770115,-10.2838926,-11.1025476,-10.0917187,-13.156498,-9.04217529,-16.703846,-10.310236,-9.76410675,-4.23512411,-3.31160188,-13.1338854,-10.3833189,-12.3342695,-12.4623623,-9.82765484,-15.0894108,-16.3170738,-8.70584106,-10.3802719,-7.63903046,-7.59712219,-4.80165625,-4.49836445
-7.89305353,-6.93116665,-8.21050358,-5.56898403,-11.4173899,-12.3557434,-11.7171068,-10.0660734,-5.25513554,-12.5854368,-11.4875116,-11.455102,-2.29113173,0.223686814,4.56947327,-11.8714228,-14.8472385,-9.69698524,-12.3002119,-10.0740738,-19.2255344,-11.9813004,-11.021822,-9.41863632,-8.80776882,-10.3109188,-9.96626282
